Source,Target,Weight
24-HOUR MAN/EMMANUEL,"FROST, CARMILLA",1
24-HOUR MAN/EMMANUEL,G'RATH,1
24-HOUR MAN/EMMANUEL,KILLRAVEN/JONATHAN R,1
24-HOUR MAN/EMMANUEL,M'SHULLA,1
24-HOUR MAN/EMMANUEL,OLD SKULL,1
3-D MAN/CHARLES CHAN,AJAK/TECUMOTZIN [ETE,1
3-D MAN/CHARLES CHAN,ANGEL/WARREN KENNETH,1
3-D MAN/CHARLES CHAN,ANT-MAN II/SCOTT HAR,1
3-D MAN/CHARLES CHAN,ANT-MAN/DR. HENRY J.,2
3-D MAN/CHARLES CHAN,ARABIAN KNIGHT/ABDUL,1
3-D MAN/CHARLES CHAN,AURORA/JEANNE-MARIE,1
3-D MAN/CHARLES CHAN,"BANNER, BETTY ROSS T",2
3-D MAN/CHARLES CHAN,BEAST/HENRY &HANK& P,1
3-D MAN/CHARLES CHAN,BLACK BOLT/BLACKANTO,1
3-D MAN/CHARLES CHAN,BLACK KNIGHT V/DANE,1
3-D MAN/CHARLES CHAN,BLACK PANTHER/T'CHAL,1
3-D MAN/CHARLES CHAN,BLACK WIDOW/NATASHA,1
3-D MAN/CHARLES CHAN,BLITZKRIEG/,1
3-D MAN/CHARLES CHAN,BROTHER VOODOO/DANIE,1
3-D MAN/CHARLES CHAN,"CAGE, LUKE/CARL LUCA",1
3-D MAN/CHARLES CHAN,CAPTAIN AMERICA,3
3-D MAN/CHARLES CHAN,CAPTAIN BRITAIN/BRIA,1
3-D MAN/CHARLES CHAN,COLLECTIVE MAN,1
3-D MAN/CHARLES CHAN,COLOSSUS II/PETER RA,1
3-D MAN/CHARLES CHAN,CRIMSON DYNAMO V/DIM,1
3-D MAN/CHARLES CHAN,CRYSTAL [INHUMAN],1
3-D MAN/CHARLES CHAN,CYCLOPS/SCOTT SUMMER,1
3-D MAN/CHARLES CHAN,DAREDEVIL/MATT MURDO,1
3-D MAN/CHARLES CHAN,DARKSTAR/LAYNIA SERG,1
3-D MAN/CHARLES CHAN,DAZZLER II/ALLISON B,1
3-D MAN/CHARLES CHAN,DEFENSOR,1
3-D MAN/CHARLES CHAN,DEVIL-SLAYER/ERIC SI,1
3-D MAN/CHARLES CHAN,DOC SAMSON/DR. LEONA,3
3-D MAN/CHARLES CHAN,DR. DRUID/ANTHONY LU,1
3-D MAN/CHARLES CHAN,DR. STRANGE/STEPHEN,1
3-D MAN/CHARLES CHAN,"DRUMM, JERICHO",1
3-D MAN/CHARLES CHAN,FALCON/SAM WILSON,1
3-D MAN/CHARLES CHAN,GARGOYLE II/ISAAC CH,1
3-D MAN/CHARLES CHAN,GORGON [INHUMAN],1
3-D MAN/CHARLES CHAN,GORILLA-MAN,3
3-D MAN/CHARLES CHAN,GRANDMASTER/EN DWI G,1
3-D MAN/CHARLES CHAN,GUARDIAN/JAMES MACDO,1
3-D MAN/CHARLES CHAN,GYPSY MOTH,1
3-D MAN/CHARLES CHAN,HAVOK/ALEX SUMMERS,1
3-D MAN/CHARLES CHAN,HAWK,3
3-D MAN/CHARLES CHAN,HELLCAT/PATSY WALKER,1
3-D MAN/CHARLES CHAN,HELLSTORM/DAIMON HEL,1
3-D MAN/CHARLES CHAN,HERCULES [GREEK GOD],1
3-D MAN/CHARLES CHAN,HULK/DR. ROBERT BRUC,3
3-D MAN/CHARLES CHAN,HUMAN ROBOT,3
3-D MAN/CHARLES CHAN,HUMAN TORCH/JOHNNY S,1
3-D MAN/CHARLES CHAN,ICEMAN/ROBERT BOBBY,1
3-D MAN/CHARLES CHAN,IGOR,1
3-D MAN/CHARLES CHAN,IKARIS/IKE HARRIS [E,1
3-D MAN/CHARLES CHAN,INVISIBLE WOMAN/SUE,1
3-D MAN/CHARLES CHAN,IRON FIST/DANIEL RAN,1
3-D MAN/CHARLES CHAN,IRON MAN/TONY STARK,1
3-D MAN/CHARLES CHAN,JACK OF HEARTS/JACK,1
3-D MAN/CHARLES CHAN,JOCASTA,1
3-D MAN/CHARLES CHAN,"JONES, RICHARD MILHO",4
3-D MAN/CHARLES CHAN,KA-ZAR/KEVIN PLUNDER,1
3-D MAN/CHARLES CHAN,KARNAK [INHUMAN],1
3-D MAN/CHARLES CHAN,LIBRA/GUSTAV BRANDT,1
3-D MAN/CHARLES CHAN,LIVING MUMMY,1
3-D MAN/CHARLES CHAN,LOBO,1
3-D MAN/CHARLES CHAN,LOCKJAW [INHUMAN],1
3-D MAN/CHARLES CHAN,MACHINE MAN/X-51,1
3-D MAN/CHARLES CHAN,MARVEL BOY III/ROBER,3
3-D MAN/CHARLES CHAN,MEDUSA/MEDUSALITH AM,1
3-D MAN/CHARLES CHAN,MIKHLO,1
3-D MAN/CHARLES CHAN,MOCKINGBIRD/DR. BARB,1
3-D MAN/CHARLES CHAN,MOON KNIGHT/MARC SPE,1
3-D MAN/CHARLES CHAN,MOONDRAGON/HEATHER D,1
3-D MAN/CHARLES CHAN,MR. FANTASTIC/REED R,1
3-D MAN/CHARLES CHAN,NIGHTCRAWLER/KURT WA,1
3-D MAN/CHARLES CHAN,NIGHTHAWK/KYLE RICHM,1
3-D MAN/CHARLES CHAN,"NORRISS, SISTER BARB",1
3-D MAN/CHARLES CHAN,NORTHSTAR/JEAN-PAUL,1
3-D MAN/CHARLES CHAN,"O'BRIEN, MICHAEL",1
3-D MAN/CHARLES CHAN,PALADIN/PAUL DENNIS,1
